"date","depth.m","variable","value"
1989-08-30,6,"DOsat_perc",90
1989-08-30,7,"DO_mgL",8.4
1989-08-30,7,"DOsat_perc",90
1989-08-30,8,"DO_mgL",8.5
1989-08-30,8,"DOsat_perc",91.1
1989-08-30,8.5,"DO_mgL",9.2
1989-08-30,8.5,"DOsat_perc",95
1989-08-30,9,"DO_mgL",10
1989-08-30,9,"DOsat_perc",99
1989-08-30,9.5,"DO_mgL",10
1989-08-30,9.5,"DOsat_perc",95
1989-08-30,10,"TP_mgL",0.001
1989-08-30,10,"pH",6.5
1989-08-30,10,"DO_mgL",9.8
1989-08-30,10,"COND",74.3
1989-08-30,10,"DOsat_perc",89
1989-08-30,10.5,"DO_mgL",9
